"EmployeeNumber","Surname","GivenName","Gender","City","JobTitle","DepartmentName","StoreLocation","Division","Age","LengthService","AbsentHours","BusinessUnit","AbsenceRate"
1,"Gutierrez","Molly","F","Burnaby","Baker","Bakery","Burnaby","Stores",33.02881569,7.018478474,36.57730606,"Stores",0.891036729
2,"Hardwick","Stephen","M","Courtenay","Baker","Bakery","Nanaimo","Stores",41.32090167,6.532444578,30.16507231,"Stores",2.613268199
3,"Delgado","Chester","M","Richmond","Baker","Bakery","Richmond","Stores",49.82204661,5.389973118,83.80779766,"Stores",4.436995024
4,"Simon","Irene","F","Victoria","Baker","Bakery","Victoria","Stores",45.59935722,4.081735738,70.02016505,"Stores",3.700214413
5,"Delvalle","Edward","M","New Westminster","Baker","Bakery","New Westminster","Stores",36.69787561,4.619091448,0,"Stores",1.850007418
6,"Jones","Ernie","M","Richmond","Baker","Bakery","Richmond","Stores",49.44031059,3.717692452,81.83007916,"Stores",4.510487281
7,"Buford","Ralph","M","Vancouver","Accounting Clerk","Accounting","Vancouver","FinanceAndAccounting",51.75273,11.157918,60.49507152,"HeadOffice",4.307793869
8,"Lee","Gregory","M","Sechelt","Baker","Bakery","West Vancouver","Stores",37.2160312,5.432122862,30.07290192,"Stores",1.881591415
9,"Smith","Jerry","M","New Westminster","Baker","Bakery","New Westminster","Stores",59.42738025,7.940120524,181.630819,"Stores",6.151324129
10,"Beard","Robert","M","Vancouver","Accounting Clerk","Accounting","Vancouver","FinanceAndAccounting",40.85398,14.848321,30.66440832,"HeadOffice",1.769061925
11,"Mathis","John","M","New Westminster","Baker","Bakery","New Westminster","Stores",47.54758052,5.872038321,28.01835332,"Stores",3.933157393
13,"Leonard","James","M","North Vancouver","Baker","Bakery","North Vancouver","Stores",38.72801116,4.621141838,0,"Stores",2.260745549
14,"Davis","Janet","F","Vananda","Baker","Bakery","Nanaimo","Stores",31.78519091,5.583328091,34.33444296,"Stores",0.768694851
15,"Bell","Thomas","M","Vancouver","Accounting Clerk","Accounting","Vancouver","FinanceAndAccounting",50.92338,5.883225,0,"HeadOffice",4.615449851
16,"Combs","Danny","M","Vancouver","Accounting Clerk","Accounting","Vancouver","FinanceAndAccounting",43.79789,20.107198,21.65982312,"HeadOffice",1.890843258
